name,prestige_raw,prestige_scaled,instagram_followers,appearance_count,prestige_percentile,rfm,gender
model_03270,0.000902,901.678493,,284,97.10457,,unknown
model_02063,0.0009,900.113139,24600.0,322,97.092606,17.967213,female
model_07547,0.000898,897.615903,,414,97.080641,16.983607,female
model_08574,0.000883,883.479697,,425,97.068677,16.983607,female
model_06773,0.000883,882.537816,,435,97.056712,15.322034,female
model_09055,0.000881,881.482691,9300000.0,505,97.044748,14.62069,female
model_01328,0.000881,880.932423,,305,97.032783,18.580645,female
model_04868,0.00088,879.656387,,480,97.020818,15.661017,female
model_04082,0.000875,875.154206,,455,97.008854,20.409449,female
model_00084,0.000874,873.538224,,438,96.996889,17.639344,female
model_02298,0.000868,868.183385,,798,96.984925,15.661017,female
model_04356,0.000866,865.975389,,434,96.97296,18.622951,female
model_09496,0.000864,864.368336,,274,96.960995,18.622951,female
model_05000,0.000861,861.292506,,393,96.949031,17.639344,female
model_05997,0.000861,861.137696,15800.0,350,96.937066,16.983607,female
model_09838,0.000859,858.909043,19000.0,474,96.925102,18.857143,female
model_07146,0.000854,854.15916,402800.0,231,96.913137,16.333333,female
model_00146,0.000854,853.898389,1200000.0,447,96.901173,17.639344,female
model_06227,0.000851,851.187017,,505,96.889208,16.333333,female
model_09248,0.00085,849.636554,,478,96.877243,4.672269,male
model_03004,0.000844,843.695185,39600.0,309,96.865279,17.639344,female
model_04075,0.00084,840.435242,,329,96.853314,16.0,female
model_08946,0.000835,835.380981,,442,96.84135,13.931034,female
model_06950,0.000832,831.901157,199600.0,416,96.829385,16.666667,female
model_06737,0.000831,831.258511,29400.0,295,96.81742,17.639344,female
model_08716,0.000821,820.92049,,215,96.805456,1.241379,male
model_08579,0.000821,820.781017,98400.0,275,96.793491,,
model_10066,0.00082,820.172521,83000.0,472,96.781527,16.983607,female
model_02510,0.000819,818.623236,,406,96.769562,18.622951,female
model_03514,0.000814,814.157159,,393,96.757598,23.692308,female
model_00982,0.000813,812.998088,,350,96.745633,17.639344,female
model_09728,0.000811,811.35592,13400.0,290,96.733668,12.842105,female
model_03193,0.000809,809.022561,,552,96.721704,18.580645,female
model_09098,0.000805,804.596867,,440,96.709739,16.0,female
model_04783,0.000803,803.116002,6600.0,400,96.697775,17.967213,female
model_03943,0.000801,801.461319,24100.0,306,96.68581,17.639344,female
model_02184,0.000793,793.410499,2500000.0,287,96.673845,16.983607,female
model_02278,0.000791,791.155252,4200.0,356,96.661881,19.225806,female
model_04924,0.000783,783.067491,15400.0,421,96.649916,17.639344,female
model_04486,0.000782,781.788087,69900.0,361,96.637952,17.639344,female
model_02291,0.00078,779.763248,24100.0,469,96.625987,16.0,female
model_00482,0.000779,779.004131,,592,96.614022,,
model_01656,0.000778,778.118827,,485,96.602058,14.62069,female
model_00178,0.000771,771.02785,,620,96.590093,4.983607,male
model_07814,0.000769,768.535139,10900.0,345,96.578129,16.333333,female
model_10048,0.000768,768.071095,,440,96.566164,13.931034,female
model_07941,0.000767,767.430635,102300.0,450,96.5542,15.666667,female
model_02987,0.000767,766.971444,28900000.0,318,96.542235,20.262295,female
model_03003,0.000767,766.72269,,409,96.53027,14.983051,female
model_06166,0.000764,764.391006,,344,96.518306,17.311475,female
model_06275,0.000764,763.892734,,507,96.506341,18.903226,female
model_05803,0.000762,762.218118,,399,96.494377,17.639344,female
model_00430,0.00076,759.804524,,281,96.482412,14.62069,female
model_08068,0.000755,755.225275,,342,96.470447,17.935484,female
model_08469,0.000754,753.695308,103000.0,626,96.458483,17.639344,female
model_02125,0.000752,752.29407,1800000.0,494,96.446518,16.819672,female
model_09606,0.000752,751.885005,1400.0,489,96.434554,17.967213,female
model_00336,0.00075,750.047316,,332,96.422589,17.639344,female
model_02210,0.000749,748.894285,,326,96.410625,14.803419,female
model_01388,0.000747,747.472801,20500000.0,736,96.39866,14.596491,female
model_05267,0.000746,746.43388,20800.0,375,96.386695,17.311475,female
model_05174,0.000746,746.309191,,311,96.374731,17.311475,female
model_09528,0.000746,745.80689,,154,96.362766,18.857143,female
model_02229,0.000743,743.363391,,422,96.350802,16.0,female
model_04083,0.00074,740.156816,,377,96.338837,16.983607,female
model_09410,0.00074,739.763346,31700.0,611,96.326872,,unknown
model_06220,0.000739,739.022781,,382,96.314908,17.639344,female
model_08722,0.000737,736.971325,149200.0,342,96.302943,12.428571,female
model_09980,0.000737,736.669203,9400.0,329,96.290979,16.666667,female
