node,x,y,node_type,centrality
Alaia,-49.740623,-33.719856,brand,0.004784
model_00036,-82.449341,-1.629178,model,0.001232
AMI,-78.012207,-14.528543,magazine,0.015632
EGONlab.,-82.698448,-5.142679,brand,0.003221
Moncler Grenoble,-70.631683,-24.223333,brand,0.004168
Bluemarble,-80.09819,-4.896465,brand,0.001516
Meryll Rogge,-57.183285,-12.498849,magazine,0.000284
model_00037,-32.564644,16.487656,model,0.005021
Anne Sofie Madsen,-12.872541,-77.129097,magazine,0.001232
Iris van Herpen,-29.087244,0.852932,brand,0.005921
Lutz Huelle,-36.81028,19.20776,brand,0.002416
Antonio Marras,-4.961562,30.372505,brand,0.019705
Cristiano Burani,-44.292492,32.977039,brand,0.003032
Desigual,-20.582039,45.625153,magazine,0.007721
Iris Van Herpen,-27.449997,1.718582,brand,0.005068
Vetements,-37.562431,-4.357469,brand,0.003647
Andrew Gn,-25.340487,22.684858,brand,0.0117
CDLM,-40.467812,23.400608,brand,0.001184
Rosa Cha,-1.410207,65.932755,brand,0.002558
model_00038,-48.900394,-27.508804,model,0.004784
Raf Simons,-79.735298,-13.00691,magazine,0.009853
Christian Dior Haute Couture,-43.580753,-13.32022,brand,0.021221
Totême,-50.618885,-30.974422,brand,0.002511
ArdAzAei,-50.687244,-27.855387,brand,0.001942
FFORME,-39.117161,-21.393021,brand,0.002653
model_00039,13.279425,43.27869,model,0.000142
Comme Comme,13.304415,43.40247,brand,0.000711
Hexa by Cuho,10.13702,43.729649,brand,0.002842
model_00040,-12.738833,40.295124,model,0.000568
Banana Republic,-32.704483,30.723581,brand,0.010516
Club Monaco,-67.233688,18.350189,magazine,0.003032
Creatures of Comfort,24.078629,36.288067,brand,0.003647
Rosie Assoulin,-20.757368,49.513565,brand,0.001516
model_00044,-65.564705,25.517147,model,0.000947
032c,-48.114426,-40.776527,magazine,0.005163
Dolce & Gabbana Alta Moda,-65.247826,30.169136,brand,0.01009
